Designator,Mid X,Mid Y,Rotation,Layer
CAPSLED,87.995,-45.0,0.0,top
CAPSR,81.95,-47.0,0.0,top
J1,75.5,-44.675,0.0,top
NUMLED,63.27,-45.0,0.0,top
NUMR,68.95,-47.0,180.0,top
SCRLED,112.73,-45.0,0.0,top
SCRR,107.0,-46.05,90.0,top
